timestep,date,n_discharged_InGeneralWard,n_occupied_beds,n_OnVentInICU
0,20201103,6,30,2
1,20201104,5,28,4
2,20201105,9,26,4
3,20201106,6,25,3
4,20201107,6,22,1
5,20201108,1,30,1
6,20201109,7,31,1
7,20201110,5,33,1
8,20201111,4,32,1
9,20201112,1,39,1
10,20201113,0,45,1
11,20201114,5,42,2
12,20201115,4,44,1
13,20201116,3,49,1
14,20201117,4,51,2
15,20201118,4,49,2
16,20201119,4,50,2
17,20201120,6,49,2
18,20201121,2,50,2
19,20201122,6,52,2
20,20201123,7,58,3
21,20201124,9,56,3
22,20201125,10,53,3
23,20201126,3,57,2
24,20201127,9,54,2
25,20201128,8,52,4
26,20201129,5,52,2
27,20201130,10,43,3
28,20201201,5,50,4
29,20201202,13,54,4
30,20201203,12,56,3
31,20201204,8,58,4
32,20201205,5,62,5
33,20201206,5,67,3
34,20201207,7,67,2
35,20201208,8,70,2
36,20201209,6,71,2
37,20201210,9,74,2
38,20201211,7,79,3
39,20201212,14,71,6
40,20201213,13,78,5
41,20201214,8,83,7
42,20201215,6,80,8
43,20201216,15,78,5
44,20201217,9,88,5
45,20201218,11,100,5
46,20201219,15,86,6
47,20201220,15,117,11
48,20201221,15,116,11
49,20201222,19,135,13
50,20201223,24,131,12
51,20201224,10,137,15
52,20201225,22,116,16
53,20201226,10,137,15
54,20201227,11,154,16
55,20201228,14,167,17
56,20201229,30,185,20
57,20201230,40,211,21
58,20201231,25,211,22
59,20210101,29,220,28
60,20210102,27,237,28
61,20210103,24,260,27
62,20210104,13,275,27
63,20210105,34,261,29
64,20210106,28,266,27
65,20210107,38,259,31
66,20210108,16,286,34
67,20210109,33,296,34
68,20210110,22,298,38
69,20210111,46,284,39
70,20210112,47,285,35
71,20210113,45,274,35
72,20210114,37,290,39
73,20210115,31,289,42
74,20210116,12,317,42
75,20210117,24,327,42
76,20210118,54,317,44
77,20210119,42,306,45
78,20210120,42,308,44
79,20210121,35,318,44
80,20210122,42,295,46
81,20210123,13,273,45
82,20210124,20,290,45
83,20210125,53,268,41
84,20210126,38,249,38
85,20210127,31,249,34
86,20210128,40,239,36
87,20210129,11,254,35
88,20210130,25,243,35
89,20210131,23,247,35
90,20210201,39,238,35
91,20210202,51,214,36
92,20210203,41,201,37
