timestep,date,n_discharged_InGeneralWard,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_InICU,n_occupied_beds,n_TERMINAL,n_TERMINAL_5daysSmoothed
0,20201103,17,,,14,,97,,
1,20201104,14,,,14,,99,,
2,20201105,14,,,15,,106,,
3,20201106,14,,,14,,104,,
4,20201107,7,,,14,,107,,
5,20201108,8,,,14,,113,,
6,20201109,12,,,17,,119,,
7,20201110,12,,,17,,125,,
8,20201111,16,,,19,,120,,
9,20201112,12,,,19,,122,,
10,20201113,17,,,18,,105,,
11,20201114,10,,,18,,124,,
12,20201115,12,,,17,,123,,
13,20201116,15,,,17,,127,,
14,20201117,17,,,16,,126,,
15,20201118,9,,,19,,133,,
16,20201119,13,,,18,,133,,
17,20201120,16,,,21,,125,,
18,20201121,11,,,21,,128,,
19,20201122,5,,,21,,129,,
20,20201123,17,,,18,,117,,
21,20201124,18,,,20,,108,,
22,20201125,11,,,19,,103,,
23,20201126,11,,,18,,103,,
24,20201127,15,,,17,,98,,
25,20201128,6,,,17,,97,,
26,20201129,6,,,17,,95,,
27,20201130,9,,,12,,95,,
28,20201201,11,,,12,,89,,
29,20201202,7,,,13,,87,,
30,20201203,14,,,12,,90,,
31,20201204,15,,,12,,92,,
32,20201205,6,,,12,,88,,
33,20201206,1,,,13,,94,,
34,20201207,11,,,14,,94,,
35,20201208,6,,,14,,94,,
36,20201209,8,,,11,,89,,
37,20201210,8,,,10,,85,,
38,20201211,11,,,10,,86,,
39,20201212,9,,,11,,80,,
40,20201213,9,,,11,,78,,
41,20201214,7,,,10,,82,,
42,20201215,11,,,9,,82,,
43,20201216,8,,,9,,78,,
44,20201217,14,,,9,,75,,
45,20201218,7,,,7,,79,,
46,20201219,4,,,15,,80,,
47,20201220,2,,,11,,85,,
48,20201221,12,,,11,,90,,
49,20201222,13,,,11,,91,,
50,20201223,14,,,11,,85,,
51,20201224,18,,,11,,84,,
52,20201225,3,,,11,,86,,
53,20201226,6,,,11,,88,,
54,20201227,9,,,12,,96,,
55,20201228,11,,,12,,102,,
56,20201229,11,,,15,,107,,
57,20201230,19,,,16,,104,,
58,20201231,8,,,15,,117,,
59,20210101,4,,,15,,125,,
60,20210102,6,,,19,,125,,
61,20210103,10,,,21,,134,,
62,20210104,16,,,21,,141,,
63,20210105,16,,,21,,140,,
64,20210106,11,,,20,,145,,
65,20210107,26,,,20,,155,,
66,20210108,21,,,23,,157,,
67,20210109,10,,,25,,158,,
68,20210110,14,,,25,,166,,
69,20210111,21,,,24,,185,,
70,20210112,18,,,28,,202,,
71,20210113,22,,,30,,209,,
72,20210114,17,,,32,,210,,
73,20210115,34,,,37,,199,,
74,20210116,12,,,33,,215,,
75,20210117,15,,,33,,225,,
76,20210118,24,,,33,,222,,
77,20210119,22,,,31,,222,,
78,20210120,35,,,34,,219,,
79,20210121,18,,,36,,233,,
80,20210122,21,,,36,,228,,
81,20210123,14,,,39,,234,,
82,20210124,20,,,41,,238,,
83,20210125,15,,,39,,235,,
84,20210126,32,,,41,,222,,
85,20210127,27,,,36,,222,,
86,20210128,31,,,32,,214,,
87,20210129,24,,,32,,209,,
88,20210130,20,,,32,,205,,
89,20210131,16,,,33,,203,,
90,20210201,23,,,32,,200,,
91,20210202,24,,,33,,191,,
92,20210203,26,,,32,,180,,
