date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,259,62.0
2020-04-30,245,60.0
2020-05-01,242,53.0
2020-05-02,232,55.0
2020-05-03,232,57.0
2020-05-04,227,54.0
2020-05-05,233,53.0
2020-05-06,238,57.0
2020-05-07,237,58.0
2020-05-08,219,53.0
2020-05-09,181,46.0
2020-05-10,188,43.0
2020-05-11,170,40.0
2020-05-12,156,40.0
2020-05-13,143,35.0
2020-05-14,119,33.0
2020-05-15,116,33.0
2020-05-16,113,35.0
2020-05-17,117,31.0
2020-05-18,122,31.0
2020-05-19,115,30.0
2020-05-20,112,33.0
2020-05-21,109,32.0
2020-05-22,105,32.0
2020-05-23,100,31.0
2020-05-24,95,30.0
2020-05-25,103,52.0
2020-05-26,99,37.0
2020-05-27,98,31.0
2020-05-28,100,30.0
2020-05-29,99,28.0
2020-05-30,91,25.0
2020-05-31,95,24.0
2020-06-01,86,18.0
2020-06-02,71,18.0
2020-06-03,74,17.0
2020-06-04,79,18.0
2020-06-05,79,19.0
2020-06-06,82,20.0
2020-06-07,71,16.0
2020-06-08,62,14.0
2020-06-09,72,15.0
2020-06-10,78,19.0
2020-06-11,78,20.0
2020-06-12,68,17.0
2020-06-13,69,11.0
2020-06-14,57,13.0
2020-06-15,53,11.0
2020-06-16,58,14.0
2020-06-17,62,16.0
2020-06-18,56,15.0
2020-06-19,56,8.0
2020-06-20,54,12.0
2020-06-21,51,10.0
2020-06-22,58,13.0
2020-06-23,64,14.0
2020-06-24,60,18.0
2020-06-25,56,13.0
2020-06-26,43,13.0
2020-06-27,42,9.0
2020-06-28,45,11.0
2020-06-29,34,9.0
2020-06-30,33,7.0
2020-07-01,38,10.0
2020-07-02,34,7.0
2020-07-03,43,7.0
2020-07-04,29,6.0
2020-07-05,34,4.0
2020-07-06,31,6.0
2020-07-07,31,4.0
2020-07-08,37,4.0
2020-07-09,37,4.0
2020-07-10,43,4.0
2020-07-11,45,8.0
2020-07-12,40,11.0
2020-07-13,27,4.0
2020-07-14,39,11.0
2020-07-15,35,6.0
2020-07-16,35,7.0
2020-07-17,40,8.0
2020-07-18,43,10.0
2020-07-19,31,1.0
2020-07-20,35,4.0
2020-07-21,28,1.0
2020-07-22,28,1.0
2020-07-24,22,3.0
2020-07-25,22,3.0
2020-07-26,34,8.0
2020-07-27,35,5.0
2020-07-28,38,3.0
2020-07-29,37,2.0
2020-07-30,29,2.0
2020-07-31,29,0.0
2020-08-01,27,4.0
2020-08-02,26,4.0
2020-08-03,31,3.0
2020-08-04,31,2.0
2020-08-05,33,1.0
2020-08-06,32,0.0
2020-08-07,38,2.0
2020-08-08,38,5.0
2020-08-09,36,5.0
2020-08-10,35,3.0
2020-08-11,41,3.0
2020-08-12,47,4.0
2020-08-13,45,4.0
2020-08-14,46,4.0
2020-08-15,40,4.0
2020-08-16,40,4.0
2020-08-17,42,4.0
2020-08-18,49,7.0
2020-08-19,51,6.0
2020-08-20,51,6.0
2020-08-21,39,4.0
2020-08-22,42,3.0
2020-08-24,39,2.0
2020-08-25,38,3.0
2020-08-26,39,3.0
2020-08-27,39,5.0
2020-08-28,33,5.0
2020-08-29,39,6.0
2020-08-30,40,2.0
2020-08-31,43,3.0
2020-09-01,46,4.0
2020-09-02,41,5.0
2020-09-03,38,5.0
2020-09-04,38,4.0
2020-09-05,34,2.0
2020-09-06,30,1.0
2020-09-07,28,3.0
2020-09-08,29,3.0
2020-09-09,32,1.0
2020-09-10,34,3.0
2020-09-11,40,6.0
2020-09-12,43,6.0
2020-09-13,36,6.0
2020-09-14,37,4.0
2020-09-15,39,6.0
2020-09-16,37,5.0
2020-09-17,47,6.0
2020-09-18,35,5.0
2020-09-19,40,5.0
2020-09-20,37,2.0
2020-09-21,38,2.0
2020-09-22,33,7.0
2020-09-23,34,7.0
2020-09-24,37,9.0
2020-09-25,37,9.0
2020-09-26,37,9.0
2020-09-27,37,9.0
2020-09-28,37,9.0
2020-09-29,45,9.0
2020-09-30,38,9.0
2020-10-01,42,7.0
2020-10-02,39,10.0
2020-10-03,44,8.0
2020-10-04,35,8.0
2020-10-05,38,9.0
2020-10-07,42,5.0
2020-10-08,37,5.0
2020-10-09,39,5.0
2020-10-10,54,9.0
2020-10-11,35,6.0
2020-10-12,40,9.0
2020-10-13,43,7.0
2020-10-14,42,9.0
2020-10-15,45,10.0
2020-10-16,37,8.0
2020-10-17,46,11.0
2020-10-18,43,8.0
2020-10-19,49,8.0
2020-10-20,57,9.0
2020-10-21,53,4.0
2020-10-22,50,5.0
2020-10-23,59,8.0
