,date,county,state,fips,cases,deaths
4028,2020-03-18,Franklin,Massachusetts,25011.0,1,0
4732,2020-03-19,Franklin,Massachusetts,25011.0,1,0
5551,2020-03-20,Franklin,Massachusetts,25011.0,1,0
6510,2020-03-21,Franklin,Massachusetts,25011.0,2,0
7587,2020-03-22,Franklin,Massachusetts,25011.0,2,0
8759,2020-03-23,Franklin,Massachusetts,25011.0,2,0
10053,2020-03-24,Franklin,Massachusetts,25011.0,5,0
11468,2020-03-25,Franklin,Massachusetts,25011.0,14,0
13056,2020-03-26,Franklin,Massachusetts,25011.0,16,1
14774,2020-03-27,Franklin,Massachusetts,25011.0,24,2
16603,2020-03-28,Franklin,Massachusetts,25011.0,39,2
18532,2020-03-29,Franklin,Massachusetts,25011.0,41,2
20561,2020-03-30,Franklin,Massachusetts,25011.0,49,2
22687,2020-03-31,Franklin,Massachusetts,25011.0,61,4
24877,2020-04-01,Franklin,Massachusetts,25011.0,72,7
27133,2020-04-02,Franklin,Massachusetts,25011.0,85,8
29447,2020-04-03,Franklin,Massachusetts,25011.0,89,11
31827,2020-04-04,Franklin,Massachusetts,25011.0,95,12
34253,2020-04-05,Franklin,Massachusetts,25011.0,100,12
36717,2020-04-06,Franklin,Massachusetts,25011.0,107,13
39224,2020-04-07,Franklin,Massachusetts,25011.0,118,17
41773,2020-04-08,Franklin,Massachusetts,25011.0,117,21
44342,2020-04-09,Franklin,Massachusetts,25011.0,128,22
46948,2020-04-10,Franklin,Massachusetts,25011.0,135,22
49590,2020-04-11,Franklin,Massachusetts,25011.0,138,23
52260,2020-04-12,Franklin,Massachusetts,25011.0,143,25
