timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,335.00,85.00,105.00,30.00,35.00,0.00,0.00
1.00,375.00,80.00,110.00,40.00,40.00,0.00,0.00
2.00,430.00,75.00,110.00,40.00,55.00,0.00,0.00
3.00,465.00,75.00,100.00,40.00,60.00,0.00,0.00
4.00,485.00,80.00,95.00,40.00,70.00,0.00,0.00
5.00,520.00,85.00,95.00,35.00,75.00,0.00,0.00
6.00,585.00,90.00,95.00,35.00,80.00,0.00,0.00
7.00,630.00,95.00,100.00,35.00,90.00,0.00,0.00
8.00,660.00,105.00,105.00,35.00,95.00,0.00,0.00
9.00,660.00,115.00,110.00,35.00,100.00,0.00,0.00
10.00,680.00,120.00,120.00,40.00,105.00,0.00,0.00
11.00,685.00,120.00,130.00,40.00,110.00,0.00,0.00
12.00,675.00,120.00,130.00,45.00,110.00,0.00,0.00
13.00,680.00,115.00,135.00,45.00,115.00,0.00,0.00
14.00,675.00,115.00,135.00,45.00,115.00,0.00,0.00
15.00,695.00,115.00,135.00,45.00,115.00,0.00,0.00
16.00,685.00,115.00,135.00,45.00,115.00,0.00,0.00
17.00,705.00,115.00,135.00,45.00,115.00,0.00,0.00
18.00,740.00,120.00,140.00,45.00,115.00,0.00,0.00
19.00,740.00,120.00,135.00,45.00,120.00,0.00,0.00
20.00,800.00,125.00,135.00,45.00,120.00,0.00,0.00
21.00,880.00,130.00,140.00,45.00,125.00,0.00,0.00
22.00,930.00,140.00,145.00,45.00,130.00,0.00,0.00
23.00,970.00,150.00,150.00,50.00,140.00,0.00,0.00
24.00,1000.50,160.00,160.00,50.00,145.00,0.00,0.00
25.00,1020.00,170.00,170.00,55.00,150.00,0.00,0.00
26.00,1025.00,170.00,180.00,55.00,160.00,0.00,0.00
27.00,1075.00,175.00,190.00,60.00,165.00,0.00,0.00
28.00,1175.00,175.00,195.00,60.00,165.00,0.00,0.00
29.00,1250.00,180.00,200.00,65.00,175.00,0.00,0.00
30.00,1325.00,195.00,205.00,65.00,180.00,0.00,0.00
31.00,1400.00,210.00,210.00,70.00,190.00,0.00,0.00
32.00,1405.00,225.00,220.00,70.00,200.00,0.00,0.00
33.00,1375.00,235.00,235.00,70.00,210.00,0.00,0.00
34.00,1360.00,230.00,250.00,75.00,220.00,0.00,0.00
35.00,1410.00,225.00,260.00,80.00,220.00,0.00,0.00
36.00,1465.00,220.00,265.00,85.00,225.00,0.00,0.00
37.00,1460.00,225.00,265.00,85.00,225.00,0.00,0.00
38.00,1490.00,235.00,265.00,90.00,225.00,0.00,0.00
39.00,1515.00,240.00,265.50,85.00,230.00,0.00,0.00
40.00,1440.00,240.50,275.00,85.00,235.00,0.00,0.00
41.00,1440.00,240.00,280.00,90.00,235.00,0.00,0.00
42.00,1480.00,235.00,280.50,90.00,235.00,0.00,0.00
43.00,1495.00,230.00,280.00,90.00,235.00,0.00,0.00
44.00,1515.00,235.00,280.00,90.00,235.00,0.00,0.00
45.00,1505.00,240.00,275.50,90.00,235.00,0.00,0.00
46.00,1525.00,245.00,280.00,90.00,240.00,0.00,0.00
47.00,1485.00,245.00,285.00,90.00,240.00,0.00,0.00
48.00,1495.00,245.00,285.00,90.00,240.00,0.00,0.00
49.00,1555.00,240.00,285.00,90.00,240.00,0.00,0.00
50.00,1615.00,240.00,285.50,90.00,245.00,0.00,0.00
51.00,1650.00,245.00,285.00,90.00,245.00,0.00,0.00
52.00,1620.00,260.00,290.00,90.00,250.00,0.00,0.00
53.00,1595.00,265.00,295.00,90.00,250.00,0.00,0.00
54.00,1540.00,265.00,300.00,95.00,260.00,0.00,0.00
55.00,1585.00,255.00,305.00,95.00,255.00,0.00,0.00
56.00,1585.00,250.00,305.00,95.00,255.00,0.00,0.00
57.00,1600.00,250.00,300.00,95.00,250.00,0.00,0.00
58.00,1595.00,250.00,300.00,95.00,250.00,0.00,0.00
59.00,1585.00,255.00,300.00,95.00,250.00,0.00,0.00
60.00,1535.00,255.00,300.00,95.00,250.00,0.00,0.00
61.00,1445.50,250.00,300.00,95.00,250.00,0.00,0.00
62.00,1455.00,245.00,300.00,95.00,250.00,0.00,0.00
63.00,1540.00,230.00,295.00,95.00,245.00,0.00,0.00
64.00,1585.00,230.00,290.00,95.00,240.00,0.00,0.00
65.00,1605.00,240.00,285.00,90.00,240.00,0.00,0.00
66.00,1595.00,255.00,280.00,90.00,245.00,0.00,0.00
67.00,1560.00,260.00,285.00,90.00,245.00,0.00,0.00
68.00,1485.00,255.00,295.00,90.00,250.00,0.00,0.00
69.00,1460.00,250.00,300.00,90.00,250.00,0.00,0.00
70.00,1435.00,235.00,300.00,90.00,245.00,0.00,0.00
71.00,1405.00,230.00,295.00,95.00,240.00,0.00,0.00
72.00,1415.00,225.00,285.00,95.00,235.00,0.00,0.00
73.00,1390.00,220.00,280.00,90.00,230.00,0.00,0.00
74.00,1335.00,225.00,275.00,90.00,225.00,0.00,0.00
75.00,1270.00,215.50,270.00,85.00,225.00,0.00,0.00
76.00,1255.00,210.00,265.00,85.00,215.00,0.00,0.00
77.00,1265.00,205.00,265.00,85.00,215.00,0.00,0.00
78.00,1265.00,200.00,255.00,80.00,210.00,0.00,0.00
79.00,1255.50,200.00,250.00,80.00,205.00,0.00,0.00
80.00,1240.00,200.00,245.00,80.00,205.00,0.00,0.00
81.00,1180.00,200.00,240.00,75.00,200.00,0.00,0.00
82.00,1135.00,195.00,240.00,75.00,200.00,0.00,0.00
83.00,1100.00,190.00,240.00,75.00,195.00,0.00,0.00
84.00,1085.00,185.00,235.00,75.00,195.00,0.00,0.00
85.00,1090.00,175.00,230.00,75.00,185.00,0.00,0.00
86.00,1085.00,170.00,220.00,75.00,180.00,0.00,0.00
87.00,1095.00,175.00,215.00,70.00,180.00,0.00,0.00
88.00,1060.00,175.00,210.00,70.00,175.50,0.00,0.00
89.00,1000.00,175.00,210.00,65.00,175.00,0.00,0.00
90.00,970.00,170.00,210.00,65.00,170.00,0.00,0.00
91.00,940.00,165.00,205.00,65.00,170.00,0.00,0.00
92.00,910.00,155.00,200.00,65.00,165.00,0.00,0.00
